9	"present"	vn.role:other	"decentrally store archive data in form"
9	"scientific"	rdfs:member	"scientific data"
9	"scientific data"	rdfs:subClassOf	"data"
9	"present"	local:AM-PNC	"represent"
9	"server"	rdfs:member	"server network"
9	"server network"	rdfs:subClassOf	"network"
9	"represent"	vn.role:Agent	"server network"
9	"scientific"	rdfs:member	"scientific data"
9	"scientific data"	rdfs:subClassOf	"data"
9	"represent"	vn.role:Theme	"scientific data"
10	"show"	vn.role:Agent	"we"
10	"trustworthy manner"	rdfs:subClassOf	"manner"
10	"recombine datasets"	rdfs:subClassOf	"datasets"
10	"trustworthy"	rdfs:member	"trustworthy manner"
10	"recombine"	rdfs:member	"recombine datasets"
10	"datasets of nanopublications"	local:of_nanopublications	"datasets"
10	"datasets of nanopublications"	local:datasets_of	"nanopublications"
10	"recombine in trustworthy manner"	local:in_trustworthymanner	"recombine"
10	"recombine in trustworthy manner"	local:recombine_in	"trustworthy manner"
10	"show"	vn.role:Theme	"allows"
10	"allows"	vn.role:Agent	"approach"
10	"trustworthy manner"	rdfs:subClassOf	"manner"
10	"recombine datasets"	rdfs:subClassOf	"datasets"
10	"trustworthy"	rdfs:member	"trustworthy manner"
10	"recombine"	rdfs:member	"recombine datasets"
10	"datasets of nanopublications"	local:of_nanopublications	"datasets"
10	"datasets of nanopublications"	local:datasets_of	"nanopublications"
10	"recombine in trustworthy manner"	local:in_trustworthymanner	"recombine"
10	"recombine in trustworthy manner"	local:recombine_in	"trustworthy manner"
10	"allows"	vn.role:Theme	"researchers"
10	"publish,"	vn.role:subject	"researchers"
10	"publish,"	vn.role:object	"retrieve"
10	"recombine"	vn.role:Agent	"researchers"
10	"datasets of nanopublications"	local:of_nanopublications	"datasets"
10	"datasets of nanopublications"	local:datasets_of	"nanopublications"
10	"recombine"	vn.role:Patient	"datasets of nanopublications"
10	"trustworthy manner"	rdfs:subClassOf	"manner"
10	"trustworthy"	rdfs:member	"trustworthy manner"
10	"recombine"	local:AM-LOC	"trustworthy manner"
11	"argue"	vn.role:Actor	"we"
11	"semantic"	rdfs:member	"semantic web"
11	"semantic web"	rdfs:subClassOf	"web"
11	"could used"	rdfs:subClassOf	"used"
11	"could used for semantic web"	local:for_semanticweb	"could used"
11	"could used for semantic web"	local:couldused_for	"semantic web"
11	"could used for semantic web in general"	local:in_general	"could used for semantic web"
11	"could used for semantic web in general"	local:couldusedforsemanticweb_in	"general"
11	"argue"	vn.role:Actor1	"could used for semantic web in general"
11	"used"	vn.role:Theme	"architecture"
11	"used"	local:AM-MOD	"could"
11	"semantic"	rdfs:member	"semantic web"
11	"semantic web"	rdfs:subClassOf	"web"
11	"used"	vn.role:Recipient	"semantic web"
11	"used"	local:AM-LOC	"general"
12	"show"	vn.role:Agent	"we"
12	"recombine datasets"	rdfs:subClassOf	"datasets"
12	"reliable manner"	rdfs:subClassOf	"manner"
12	"reliable"	rdfs:member	"reliable manner"
12	"recombine"	rdfs:member	"recombine datasets"
12	"datasets of nanopublications"	local:of_nanopublications	"datasets"
12	"datasets of nanopublications"	local:datasets_of	"nanopublications"
12	"recombine in reliable manner"	local:in_reliablemanner	"recombine"
12	"recombine in reliable manner"	local:recombine_in	"reliable manner"
12	"show"	vn.role:Theme	"allows"
12	"allows"	vn.role:Agent	"approach"
12	"recombine datasets"	rdfs:subClassOf	"datasets"
